0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	388	1044	1069	1083	1642	1893	2069	2362	0	0	0	0	0	0	0	0	0	0	0
117	320	378	461	472	676	817	931	1601	2362	2400	2410	2493	2545	2824	2864	2871	0	0	0
413	684	697	902	1215	1616	1749	1783	2483	2915	0	0	0	0	0	0	0	0	0	0
1206	1749	1953	2323	2333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	112	675	927	1894	2333	2788	2931	0	0	0	0	0	0	0	0	0	0	0	0
22	228	537	1616	1629	1728	1875	2020	2333	2564	0	0	0	0	0	0	0	0	0	0
114	279	537	599	927	987	2244	2333	2414	2564	2755	0	0	0	0	0	0	0	0	0
386	604	749	848	1037	1056	1072	1206	1893	1894	2213	2333	2673	2714	2823	0	0	0	0	0
111	210	479	643	1893	1948	2213	2333	0	0	0	0	0	0	0	0	0	0	0	0
290	392	413	670	927	1445	1783	1999	2300	2362	0	0	0	0	0	0	0	0	0	0
22	134	150	210	290	368	922	1002	1894	1948	2333	2606	0	0	0	0	0	0	0	0
440	1201	1666	1893	2336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	228	300	932	1422	2788	2900	0	0	0	0	0	0	0	0	0	0	0	0	0
48	114	537	927	987	1881	2333	2564	2755	2815	0	0	0	0	0	0	0	0	0	0
212	746	2257	2337	2362	2400	2564	0	0	0	0	0	0	0	0	0	0	0	0	0
678	812	857	881	927	987	1206	1594	1832	1894	1999	2673	2677	2823	2941	0	0	0	0	0
22	134	177	178	378	868	881	1206	1360	1893	1953	2337	2927	0	0	0	0	0	0	0
362	987	2333	2428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290	1343	1616	1844	1999	2333	2915	0	0	0	0	0	0	0	0	0	0	0	0	0
112	987	1783	2333	2564	2790	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	927	987	1783	2333	2564	2788	0	0	0	0	0	0	0	0	0	0	0	0	0
98	279	384	885	1844	1894	2081	2915	0	0	0	0	0	0	0	0	0	0	0	0
